Building DAG of jobs...
Using shell: /usr/bin/bash
Provided cores: 16
Rules claiming more threads will be scaled down.
Job counts:
	count	jobs
	1	strelka
	1

[Sat Mar 13 00:23:58 2021]
rule strelka:
    input: /spin1/scratch/tandonm/pipeline_out/tn_test_1/bams/chrom_split/Sample4_CRL1622_S31.test.chr16.split.bam, /spin1/scratch/tandonm/pipeline_out/tn_test_1/bams/chrom_split/Sample10_ARK1_S37.test.chr16.split.bam
    output: /spin1/scratch/tandonm/pipeline_out/tn_test_1/somatic/SNP_Indels/strelka_out/chrom_split/Sample10_ARK1_S37.test.chr16.vcf
    jobid: 0
    wildcards: samples=Sample10_ARK1_S37.test, chroms=chr16

[+] Loading strelka  2.9.0  on cn2298 

Successfully created workflow run script.
To execute the workflow, run the following script and set appropriate options:

/spin1/scratch/tandonm/pipeline_out/tn_test_1/somatic/SNP_Indels/strelka_out/chrom_split/Sample10_ARK1_S37.test/chr16/runWorkflow.py
[2021-03-13T05:24:02.691559] [cn2298.hpc.nih.gov] [29836_1] [WorkflowRunner] Initiating pyFlow run
[2021-03-13T05:24:02.692453] [cn2298.hpc.nih.gov] [29836_1] [WorkflowRunner] pyFlowClientWorkflowClass: StrelkaSomaticWorkflow
[2021-03-13T05:24:02.693223] [cn2298.hpc.nih.gov] [29836_1] [WorkflowRunner] pyFlowVersion: 1.1.19
[2021-03-13T05:24:02.693836] [cn2298.hpc.nih.gov] [29836_1] [WorkflowRunner] pythonVersion: 2.7.15.final.0
[2021-03-13T05:24:02.694488] [cn2298.hpc.nih.gov] [29836_1] [WorkflowRunner] WorkingDir: '/spin1/scratch/tandonm/pipeline_out/tn_test_1/somatic/SNP_Indels/strelka_out/chrom_split/Sample10_ARK1_S37.test/chr16'
[2021-03-13T05:24:02.695317] [cn2298.hpc.nih.gov] [29836_1] [WorkflowRunner] ProcessCmdLine: './runWorkflow.py -m local -j 15'
[2021-03-13T05:24:02.696050] [cn2298.hpc.nih.gov] [29836_1] [WorkflowRunner] [RunParameters] mode: local
[2021-03-13T05:24:02.696909] [cn2298.hpc.nih.gov] [29836_1] [WorkflowRunner] [RunParameters] nCores: 15
[2021-03-13T05:24:02.698051] [cn2298.hpc.nih.gov] [29836_1] [WorkflowRunner] [RunParameters] memMb: 257654
[2021-03-13T05:24:02.698932] [cn2298.hpc.nih.gov] [29836_1] [WorkflowRunner] [RunParameters] dataDir: /spin1/scratch/tandonm/pipeline_out/tn_test_1/somatic/SNP_Indels/strelka_out/chrom_split/Sample10_ARK1_S37.test/chr16/workspace/pyflow.data
[2021-03-13T05:24:02.700062] [cn2298.hpc.nih.gov] [29836_1] [WorkflowRunner] [RunParameters] isDryRun: False
[2021-03-13T05:24:02.701383] [cn2298.hpc.nih.gov] [29836_1] [WorkflowRunner] [RunParameters] isContinue: False
[2021-03-13T05:24:02.702274] [cn2298.hpc.nih.gov] [29836_1] [WorkflowRunner] [RunParameters] isForceContinue: True
[2021-03-13T05:24:02.703205] [cn2298.hpc.nih.gov] [29836_1] [WorkflowRunner] [RunParameters] mailTo: ''
[2021-03-13T05:24:02.704958] [cn2298.hpc.nih.gov] [29836_1] [TaskRunner:masterWorkflow] Starting task specification for master workflow
[2021-03-13T05:24:02.707782] [cn2298.hpc.nih.gov] [29836_1] [StrelkaSomaticWorkflow] Initiating Strelka somatic workflow version: UNKNOWN
[2021-03-13T05:24:02.723150] [cn2298.hpc.nih.gov] [29836_1] [WorkflowRunner] Adding sub-workflow task 'CallGenome' to master workflow
[2021-03-13T05:24:02.724559] [cn2298.hpc.nih.gov] [29836_1] [TaskRunner:masterWorkflow] Finished task specification for master workflow
[2021-03-13T05:24:02.725980] [cn2298.hpc.nih.gov] [29836_1] [TaskManager] Launching sub-workflow task: 'CallGenome' from master workflow
[2021-03-13T05:24:02.727263] [cn2298.hpc.nih.gov] [29836_1] [TaskRunner:CallGenome] Starting task specification for sub-workflow
[2021-03-13T05:24:02.728522] [cn2298.hpc.nih.gov] [29836_1] [WorkflowRunner] Adding command task 'CallGenome+makeTmpDir' to sub-workflow 'CallGenome'
[2021-03-13T05:24:02.730452] [cn2298.hpc.nih.gov] [29836_1] [WorkflowRunner] Adding command task 'CallGenome+callGenomeSegment_chromId_000_chr1_0000' to sub-workflow 'CallGenome'
[2021-03-13T05:24:02.731670] [cn2298.hpc.nih.gov] [29836_1] [WorkflowRunner] Adding command task 'CallGenome+fixVcfHeader_chromId_000_chr1_0000' to sub-workflow 'CallGenome'
[2021-03-13T05:24:02.733161] [cn2298.hpc.nih.gov] [29836_1] [WorkflowRunner] Adding command task 'CallGenome+compressSegmentOutput_chromId_000_chr1_0000' to sub-workflow 'CallGenome'
[2021-03-13T05:24:02.734452] [cn2298.hpc.nih.gov] [29836_1] [WorkflowRunner] Adding command task 'CallGenome+callGenomeSegment_chromId_000_chr1_0001' to sub-workflow 'CallGenome'
[2021-03-13T05:24:02.735458] [cn2298.hpc.nih.gov] [29836_1] [TaskManager] Launching command task: 'CallGenome+makeTmpDir' from sub-workflow 'CallGenome'
[2021-03-13T05:24:02.736474] [cn2298.hpc.nih.gov] [29836_1] [WorkflowRunner] Adding command task 'CallGenome+compressSegmentOutput_chromId_000_chr1_0001' to sub-workflow 'CallGenome'
[2021-03-13T05:24:02.738057] [cn2298.hpc.nih.gov] [29836_1] [WorkflowRunner] Adding command task 'CallGenome+callGenomeSegment_chromId_000_chr1_0002' to sub-workflow 'CallGenome'
[2021-03-13T05:24:02.739318] [cn2298.hpc.nih.gov] [29836_1] [WorkflowRunner] Adding command task 'CallGenome+compressSegmentOutput_chromId_000_chr1_0002' to sub-workflow 'CallGenome'
[2021-03-13T05:24:02.741166] [cn2298.hpc.nih.gov] [29836_1] [WorkflowRunner] Adding command task 'CallGenome+callGenomeSegment_chromId_000_chr1_0003' to sub-workflow 'CallGenome'
[2021-03-13T05:24:02.742213] [cn2298.hpc.nih.gov] [29836_1] [WorkflowRunner] Adding command task 'CallGenome+compressSegmentOutput_chromId_000_chr1_0003' to sub-workflow 'CallGenome'
[2021-03-13T05:24:02.744786] [cn2298.hpc.nih.gov] [29836_1] [WorkflowRunner] Adding command task 'CallGenome+callGenomeSegment_chromId_000_chr1_0004' to sub-workflow 'CallGenome'
[2021-03-13T05:24:02.746185] [cn2298.hpc.nih.gov] [29836_1] [TaskRunner:CallGenome+makeTmpDir] Task initiated on local node
[2021-03-13T05:24:02.747242] [cn2298.hpc.nih.gov] [29836_1] [WorkflowRunner] Adding command task 'CallGenome+compressSegmentOutput_chromId_000_chr1_0004' to sub-workflow 'CallGenome'
[2021-03-13T05:24:02.749400] [cn2298.hpc.nih.gov] [29836_1] [WorkflowRunner] Adding command task 'CallGenome+callGenomeSegment_chromId_000_chr1_0005' to sub-workflow 'CallGenome'
[2021-03-13T05:24:02.750648] [cn2298.hpc.nih.gov] [29836_1] [WorkflowRunner] Adding command task 'CallGenome+compressSegmentOutput_chromId_000_chr1_0005' to sub-workflow 'CallGenome'
[2021-03-13T05:24:02.751813] [cn2298.hpc.nih.gov] [29836_1] [WorkflowRunner] Adding command task 'CallGenome+callGenomeSegment_chromId_000_chr1_0006' to sub-workflow 'CallGenome'
[2021-03-13T05:24:02.752950] [cn2298.hpc.nih.gov] [29836_1] [WorkflowRunner] Adding command task 'CallGenome+compressSegmentOutput_chromId_000_chr1_0006' to sub-workflow 'CallGenome'
[2021-03-13T05:24:02.754766] [cn2298.hpc.nih.gov] [29836_1] [WorkflowRunner] Adding command task 'CallGenome+callGenomeSegment_chromId_000_chr1_0007' to sub-workflow 'CallGenome'
[2021-03-13T05:24:02.756149] [cn2298.hpc.nih.gov] [29836_1] [WorkflowRunner] Adding command task 'CallGenome+compressSegmentOutput_chromId_000_chr1_0007' to sub-workflow 'CallGenome'
[2021-03-13T05:24:02.757965] [cn2298.hpc.nih.gov] [29836_1] [WorkflowRunner] Adding command task 'CallGenome+callGenomeSegment_chromId_000_chr1_0008' to sub-workflow 'CallGenome'
