Building DAG of jobs...
Using shell: /usr/bin/bash
Provided cores: 16
Rules claiming more threads will be scaled down.
Job counts:
	count	jobs
	1	strelka
	1

[Sat Mar 13 00:23:58 2021]
rule strelka:
    input: /spin1/scratch/tandonm/pipeline_out/tn_test_1/bams/chrom_split/Sample4_CRL1622_S31.test.chr17.split.bam, /spin1/scratch/tandonm/pipeline_out/tn_test_1/bams/chrom_split/Sample10_ARK1_S37.test.chr17.split.bam
    output: /spin1/scratch/tandonm/pipeline_out/tn_test_1/somatic/SNP_Indels/strelka_out/chrom_split/Sample10_ARK1_S37.test.chr17.vcf
    jobid: 0
    wildcards: samples=Sample10_ARK1_S37.test, chroms=chr17

[+] Loading strelka  2.9.0  on cn2345 

Successfully created workflow run script.
To execute the workflow, run the following script and set appropriate options:

/spin1/scratch/tandonm/pipeline_out/tn_test_1/somatic/SNP_Indels/strelka_out/chrom_split/Sample10_ARK1_S37.test/chr17/runWorkflow.py
[2021-03-13T05:24:02.500002] [cn2345.hpc.nih.gov] [49567_1] [WorkflowRunner] Initiating pyFlow run
[2021-03-13T05:24:02.500606] [cn2345.hpc.nih.gov] [49567_1] [WorkflowRunner] pyFlowClientWorkflowClass: StrelkaSomaticWorkflow
[2021-03-13T05:24:02.501032] [cn2345.hpc.nih.gov] [49567_1] [WorkflowRunner] pyFlowVersion: 1.1.19
[2021-03-13T05:24:02.501452] [cn2345.hpc.nih.gov] [49567_1] [WorkflowRunner] pythonVersion: 2.7.15.final.0
[2021-03-13T05:24:02.501856] [cn2345.hpc.nih.gov] [49567_1] [WorkflowRunner] WorkingDir: '/spin1/scratch/tandonm/pipeline_out/tn_test_1/somatic/SNP_Indels/strelka_out/chrom_split/Sample10_ARK1_S37.test/chr17'
[2021-03-13T05:24:02.502302] [cn2345.hpc.nih.gov] [49567_1] [WorkflowRunner] ProcessCmdLine: './runWorkflow.py -m local -j 15'
[2021-03-13T05:24:02.502734] [cn2345.hpc.nih.gov] [49567_1] [WorkflowRunner] [RunParameters] mode: local
[2021-03-13T05:24:02.503290] [cn2345.hpc.nih.gov] [49567_1] [WorkflowRunner] [RunParameters] nCores: 15
[2021-03-13T05:24:02.503662] [cn2345.hpc.nih.gov] [49567_1] [WorkflowRunner] [RunParameters] memMb: 257654
[2021-03-13T05:24:02.504276] [cn2345.hpc.nih.gov] [49567_1] [WorkflowRunner] [RunParameters] dataDir: /spin1/scratch/tandonm/pipeline_out/tn_test_1/somatic/SNP_Indels/strelka_out/chrom_split/Sample10_ARK1_S37.test/chr17/workspace/pyflow.data
[2021-03-13T05:24:02.504957] [cn2345.hpc.nih.gov] [49567_1] [WorkflowRunner] [RunParameters] isDryRun: False
[2021-03-13T05:24:02.505577] [cn2345.hpc.nih.gov] [49567_1] [WorkflowRunner] [RunParameters] isContinue: False
[2021-03-13T05:24:02.506213] [cn2345.hpc.nih.gov] [49567_1] [WorkflowRunner] [RunParameters] isForceContinue: True
[2021-03-13T05:24:02.506869] [cn2345.hpc.nih.gov] [49567_1] [WorkflowRunner] [RunParameters] mailTo: ''
[2021-03-13T05:24:02.508025] [cn2345.hpc.nih.gov] [49567_1] [TaskRunner:masterWorkflow] Starting task specification for master workflow
[2021-03-13T05:24:02.508641] [cn2345.hpc.nih.gov] [49567_1] [StrelkaSomaticWorkflow] Initiating Strelka somatic workflow version: UNKNOWN
[2021-03-13T05:24:02.522826] [cn2345.hpc.nih.gov] [49567_1] [WorkflowRunner] Adding sub-workflow task 'CallGenome' to master workflow
[2021-03-13T05:24:02.524182] [cn2345.hpc.nih.gov] [49567_1] [TaskManager] Launching sub-workflow task: 'CallGenome' from master workflow
[2021-03-13T05:24:02.524926] [cn2345.hpc.nih.gov] [49567_1] [TaskRunner:masterWorkflow] Finished task specification for master workflow
[2021-03-13T05:24:02.525617] [cn2345.hpc.nih.gov] [49567_1] [TaskRunner:CallGenome] Starting task specification for sub-workflow
[2021-03-13T05:24:02.527333] [cn2345.hpc.nih.gov] [49567_1] [WorkflowRunner] Adding command task 'CallGenome+makeTmpDir' to sub-workflow 'CallGenome'
[2021-03-13T05:24:02.528300] [cn2345.hpc.nih.gov] [49567_1] [WorkflowRunner] Adding command task 'CallGenome+callGenomeSegment_chromId_000_chr1_0000' to sub-workflow 'CallGenome'
[2021-03-13T05:24:02.529272] [cn2345.hpc.nih.gov] [49567_1] [WorkflowRunner] Adding command task 'CallGenome+fixVcfHeader_chromId_000_chr1_0000' to sub-workflow 'CallGenome'
[2021-03-13T05:24:02.530235] [cn2345.hpc.nih.gov] [49567_1] [WorkflowRunner] Adding command task 'CallGenome+compressSegmentOutput_chromId_000_chr1_0000' to sub-workflow 'CallGenome'
[2021-03-13T05:24:02.530978] [cn2345.hpc.nih.gov] [49567_1] [TaskManager] Launching command task: 'CallGenome+makeTmpDir' from sub-workflow 'CallGenome'
[2021-03-13T05:24:02.531717] [cn2345.hpc.nih.gov] [49567_1] [WorkflowRunner] Adding command task 'CallGenome+callGenomeSegment_chromId_000_chr1_0001' to sub-workflow 'CallGenome'
[2021-03-13T05:24:02.533092] [cn2345.hpc.nih.gov] [49567_1] [WorkflowRunner] Adding command task 'CallGenome+compressSegmentOutput_chromId_000_chr1_0001' to sub-workflow 'CallGenome'
[2021-03-13T05:24:02.534075] [cn2345.hpc.nih.gov] [49567_1] [WorkflowRunner] Adding command task 'CallGenome+callGenomeSegment_chromId_000_chr1_0002' to sub-workflow 'CallGenome'
[2021-03-13T05:24:02.534880] [cn2345.hpc.nih.gov] [49567_1] [WorkflowRunner] Adding command task 'CallGenome+compressSegmentOutput_chromId_000_chr1_0002' to sub-workflow 'CallGenome'
[2021-03-13T05:24:02.537238] [cn2345.hpc.nih.gov] [49567_1] [WorkflowRunner] Adding command task 'CallGenome+callGenomeSegment_chromId_000_chr1_0003' to sub-workflow 'CallGenome'
[2021-03-13T05:24:02.538070] [cn2345.hpc.nih.gov] [49567_1] [TaskRunner:CallGenome+makeTmpDir] Task initiated on local node
[2021-03-13T05:24:02.538601] [cn2345.hpc.nih.gov] [49567_1] [WorkflowRunner] Adding command task 'CallGenome+compressSegmentOutput_chromId_000_chr1_0003' to sub-workflow 'CallGenome'
[2021-03-13T05:24:02.539527] [cn2345.hpc.nih.gov] [49567_1] [WorkflowRunner] Adding command task 'CallGenome+callGenomeSegment_chromId_000_chr1_0004' to sub-workflow 'CallGenome'
[2021-03-13T05:24:02.540222] [cn2345.hpc.nih.gov] [49567_1] [WorkflowRunner] Adding command task 'CallGenome+compressSegmentOutput_chromId_000_chr1_0004' to sub-workflow 'CallGenome'
